msize	t_table	scotch	bintree	knomial	scag	def	min	opt_alg	tt_pdif	s_pdif	opt_pdif
1	11.12	12.44	12.94	11.26	22.3	12.06	11.26	knomial	0.077943615	-0.031509121	0.066334992
2	15.68	17.01	18.77	16.32	37.19	16.95	16.32	knomial	0.074926254	-0.003539823	0.037168142
4	15.55	17.05	18.7	16.7	36.94	16.93	16.7	knomial	0.081512109	-0.007088009	0.013585351
8	15.74	17.49	18.61	16.39	37.43	16.95	16.39	knomial	0.071386431	-0.031858407	0.033038348
16	11.18	12.22	12.88	10.91	21.85	12.21	10.91	knomial	0.084357084	-0.000819001	0.106470106
32	11.17	12.29	13.1	11.21	34.03	12.31	11.21	knomial	0.092607636	0.001624695	0.089358245
64	15.39	16.73	17.79	14.36	35.04	16.61	14.36	knomial	0.073449729	-0.007224564	0.135460566
128	15.67	17.75	19.07	15.17	38.53	17.59	15.17	knomial	0.109152928	-0.009096077	0.137578169
256	16.05	21.85	20.63	15.41	38.76	21.82	15.41	knomial	0.264436297	-0.001374885	0.293767186
512	20.66	33.1	26.82	20.14	37.12	33.23	20.14	knomial	0.378272645	0.003912128	0.393921156
1024	26.71	50.17	35.69	25.27	43.31	48.5	25.27	knomial	0.449278351	-0.03443299	0.478969072
2048	42.37	58.92	60.44	40.85	59.79	42.89	40.85	knomial	0.012124038	-0.373746794	0.047563535
4096	73.44	108.18	113.25	72.8	90.51	71.77	72.8	knomial	-0.023268775	-0.507315034	-0.0143514
8192	134.6	200.1	204.76	132.79	158.73	132.4	132.79	knomial	-0.016616314	-0.511329305	-0.002945619
16384	174.69	364.9	222.02	173.59	281.54	175.92	173.59	knomial	0.006991814	-1.07423829	0.013244657
32768	342.04	762.63	432.66	340.59	549.49	349.15	340.59	knomial	0.020363741	-1.184247458	0.024516683
65536	675.18	1551.5	839.44	668.09	1080.38	677.02	668.09	knomial	0.002717793	-1.291660512	0.013190157
131072	1365.92	3146.99	1666.39	1344.64	2177.65	1367.29	1344.64	knomial	0.001001982	-1.301625844	0.016565615
262144	2751.82	6330.8	3318.66	2689.38	4384.87	2720.79	2689.38	knomial	-0.011404776	-1.326824194	0.011544441
524288	5464.48	12652.02	6558.16	5328.78	4679.51	5417.52	4679.51	scag	-0.008668173	-1.335389625	0.136226539
# 1048576	533.74	10696.31	6341.93	539.64	4744.16	540.13	539.64	knomial	0.011830485	-18.80321404	0.000907189
1048576	533.74	10696.31	6341.93	539.64	4744.16	540.13	539.64	knomial	0.011830485	nan	0.000907189
2097152	870.77	2355.29	1384.11	884.24	5294.84	875.69	884.24	knomial	0.005618427	-1.689639028	-0.009763729
4194304	1614.52	4661.15	2480.62	1662.9	5637.97	1683.04	1662.9	knomial	0.040712045	-1.769482603	0.011966442
8388608	3231.84	9555.79	4674.36	3258.05	3643.53	3285.3	3258.05	knomial	0.016272487	-1.908650656	0.008294524
16777216	6698.66	19496.01	9143.23	6606.75	6593.69	6767.18	6593.69	scag	0.01012534	-1.880965188	0.025636971
33554432	13481.76	40704.63	18326.98	13475.95	12287.6	13439.29	12287.6	scag	-0.003160137	-2.028778306	0.085695747
67108864	27064.37	82895.52	37114.45	27107.8	23470.98	27316.22	23470.98	scag	0.009219797	-2.034662922	0.140767646
134217728	54725.46	167613.35	75090.18	54826.37	46467.45	54681.38	46467.45	scag	-0.000806124	-2.065272859	0.150214387
268435456	110568.39	370328.16	152340.57	110564.86	92377.43	110609.37	92377.43	scag	0.000370493	-2.348072229	0.164831786
