msize	t_table	scotch	bintree	knomial	scag	def	min	opt_alg	tt_pdif	s_pdif	opt_pdif
1	13.59	14.1	17.38	13.9	45.12	14.62	13.9	knomial	0.070451436	0.035567715	0.049247606
2	22.08	20.82	24.77	20.14	76.02	20.63	20.14	knomial	-0.070285991	-0.009209889	0.023751818
4	20.09	20.6	24.76	21.27	75.04	20.43	21.27	knomial	0.016642193	-0.008321096	-0.041116006
8	20.11	20.6	24.2	20.25	74.49	20.02	20.25	knomial	-0.004495504	-0.028971029	-0.011488511
16	14.56	13.87	16.69	13.56	44.25	13.49	13.56	knomial	-0.079318013	-0.028169014	-0.005189029
32	13.57	14.15	16.71	13.55	46.38	13.43	13.55	knomial	-0.010424423	-0.053611318	-0.00893522
64	18.92	19.58	21.43	17.74	41.99	18.54	17.74	knomial	-0.020496224	-0.05609493	0.043149946
128	19.79	20.18	22.49	18.58	43.3	17.87	18.58	knomial	-0.107442641	-0.129266928	-0.039731393
256	20.3	21.05	24.94	20.73	43.45	18.99	20.73	knomial	-0.068983676	-0.108478146	-0.091627172
512	25.87	27.55	29.73	25.08	44.4	24.36	25.08	knomial	-0.061986864	-0.130952381	-0.02955665
1024	33.39	36.57	41.09	32.04	49.22	30.04	32.04	knomial	-0.111517976	-0.217376831	-0.066577896
2048	51.48	59.12	70.08	50.32	65.13	49.15	50.32	knomial	-0.0474059	-0.202848423	-0.02380468
4096	89.1	108.54	135.1	90.9	98.62	90.27	90.9	knomial	0.012961117	-0.202392822	-0.006979063
8192	161.62	193.27	245.7	163.53	162.34	163.86	162.34	scag	0.013670206	-0.179482485	0.009276211
16384	237.5	393.33	266.71	239.28	283.79	232.11	239.28	knomial	-0.023221748	-0.694584464	-0.030890526
32768	479.71	811.99	524.42	477.68	543.15	467.41	477.68	knomial	-0.026315226	-0.737211442	-0.021972144
65536	941.58	1627.8	1015.57	933.88	1066.56	899.65	933.88	knomial	-0.046607014	-0.809370311	-0.03804813
131072	1891.75	3305.22	2012.51	1868.35	2136.92	1824.86	1868.35	knomial	-0.036654867	-0.811218395	-0.023831965
262144	3788.6	6649.84	3996.81	3730.47	4296.6	3664.08	3730.47	knomial	-0.033983974	-0.814873038	-0.018119146
524288	7585.8	13270.87	7925.05	7428.28	4722.83	7294.15	4722.83	scag	-0.039984097	-0.819385398	0.352518114
# 1048576	722.91	10493.57	8519.14	735.06	5025.36	723.91	735.06	knomial	0.001381387	-13.49568317	-0.015402467
1048576	722.91	10493.57	8519.14	735.06	5025.36	723.91	735.06	knomial	0.001381387	nan	-0.015402467
2097152	1263.17	2318.54	1671.17	1292.45	5485.32	1268.57	1292.45	knomial	0.004256762	-0.827679986	-0.018824346
4194304	2474.86	4576.19	3031.49	2539.62	6322.98	2473.33	2539.62	knomial	-0.000618599	-0.850214084	-0.026801923
8388608	4980.86	10014.71	5672.23	4959.38	7222.78	4950.73	4959.38	knomial	-0.006085971	-1.022875414	-0.001747217
16777216	10128.49	nan	11106.66	10154.06	7025.89	10048.49	7025.89	scag	-0.007961395	nan	0.300801414
33554432	20380.26	nan	22362.97	20296.67	12925.58	20495.33	12925.58	scag	0.00561445	nan	0.369340235
67108864	41171.96	nan	45575.43	41400.49	24760.89	41301.7	24760.89	scag	0.003141275	nan	0.400487389
134217728	83338.27	nan	91859.51	83316.03	48792.98	83252.29	48792.98	scag	-0.001032764	nan	0.41391426
