msize	t_table	scotch	bintree	knomial	scag	def	min	opt_alg	tt_pdif	s_pdif	opt_pdif
1	11.38	11.59	12.24	10.7	21.49	11.15	10.7	knomial	-0.020627803	-0.039461883	0.040358744
2	15.2	16.31	17.74	15.83	36.78	16.02	15.83	knomial	0.051186017	-0.018102372	0.011860175
4	15.13	16.2	17.58	15.79	36.47	15.79	15.79	knomial	0.041798607	-0.025965801	0
8	15.22	16.09	17.58	15.76	36.31	15.86	15.76	knomial	0.04035309	-0.014501892	0.00630517
16	10.64	11.26	11.87	10.61	21.27	11.12	10.61	knomial	0.043165468	-0.012589928	0.045863309
32	11.2	11.46	12.06	10.89	32.34	11.28	10.89	knomial	0.007092199	-0.015957447	0.034574468
64	14.71	14.93	15.46	13.53	33.44	14.91	13.53	knomial	0.013413816	-0.001341382	0.092555332
128	15.5	16.22	16.73	14.49	32.53	16.18	14.49	knomial	0.042027194	-0.002472188	0.104449938
256	15.39	20.28	17.71	15.24	36.07	20.21	15.24	knomial	0.238495794	-0.003463632	0.245917862
512	19.66	30.64	23.06	18.43	34.67	30.09	18.43	knomial	0.346626786	-0.018278498	0.387504154
1024	25.94	46.76	33.6	24.28	40.84	46.89	24.28	knomial	0.44679036	0.002772446	0.482192365
2048	40.15	60.29	57.29	40.3	56.7	41.55	40.3	knomial	0.033694344	-0.451022864	0.030084236
4096	71.61	113.18	107.92	71.54	88.15	71.93	71.54	knomial	0.00444877	-0.573474211	0.005421938
8192	131.48	208.17	197.41	130.19	150.52	128.23	130.19	knomial	-0.025345083	-0.623411058	-0.015285035
16384	171.54	371.51	209.6	173.37	273.08	170.61	173.37	knomial	-0.005451029	-1.177539417	-0.016177246
32768	337.7	765	419.07	341.19	534.48	341.56	341.19	knomial	0.011301089	-1.239723621	0.001083265
65536	648.52	1539.12	810.02	660.02	1060.2	675.37	660.02	knomial	0.039755986	-1.278928587	0.022728282
131072	1291.17	3169.66	1607.74	1322.31	2135.56	1360.76	1322.31	knomial	0.051140539	-1.329330668	0.028256269
262144	2594.96	6376.11	3196.93	2658.14	4283.27	2734.87	2658.14	knomial	0.051157825	-1.331412462	0.028056178
524288	5213.32	12727.79	6326.25	5279.14	4601.64	5423.03	4601.64	scag	0.038670264	-1.346988676	0.151463296
1048576	525.31	1243.75	776.5	531.34	4667.72	532.04	531.34	knomial	0.012649425	-1.337700173	0.001315691
2097152	866.17	2290.76	1393.73	869.93	5251.48	863.81	869.93	knomial	-0.002732082	-1.651925771	-0.007084891
4194304	1646.36	4548.95	2497.62	1641.33	5491.84	1653.5	1641.33	knomial	0.004318113	-1.751103719	0.007360145
8388608	3184.23	9005.5	4682.59	3195.58	3644.55	3301.87	3195.58	knomial	0.035628295	-1.727393871	0.032190849
16777216	6586.77	19170.24	9114.64	6613.47	6580.43	6670.6	6580.43	scag	0.012567085	-1.873840434	0.013517525
33554432	13382.79	39998.21	18367.91	13451.99	12237.93	13643.18	12237.93	scag	0.019085726	-1.931736589	0.10300018
67108864	27119.87	81798.17	37380.48	27208.1	23336.15	27339.94	23336.15	scag	0.008049396	-1.991892813	0.146444725
134217728	54813.69	166983.56	75272.98	54873.63	46300.71	54876.74	46300.71	scag	0.001148939	-2.042884107	0.156278052
268435456	110623.62	368810.69	152648.17	110604.79	92444.37	110699.03	92444.37	scag	0.000681216	-2.331652409	0.164903523
