msize	t_table	scotch	bintree	knomial	scag	def	min	opt_alg	tt_pdif	s_pdif	opt_pdif
1	13.26	14.05	16.56	13.82	45.97	13.38	13.82	knomial	0.00896861	-0.050074738	-0.032884903
2	19.63	19.69	23.02	19.98	75.1	19.93	19.98	knomial	0.015052684	0.012042148	-0.002508781
4	20.1	19.79	22.59	19.93	74.92	21.57	19.93	knomial	0.068150209	0.082522021	0.076031525
8	19.7	19.66	22.49	19.77	75.54	19.84	19.77	knomial	0.007056452	0.009072581	0.003528226
16	13.12	13.01	15.33	13.39	44.88	14.22	13.39	knomial	0.077355837	0.085091421	0.058368495
32	13.08	14.42	16.33	14.01	46.48	13.97	14.01	knomial	0.063707946	-0.032211883	-0.002863278
64	17.92	16.8	20.31	17.31	38.69	15.72	17.31	knomial	-0.139949109	-0.06870229	-0.101145038
128	19.27	17.87	21.23	15.78	42.18	16.23	15.78	knomial	-0.187307455	-0.101047443	0.027726433
256	18.84	18.4	22.91	16.31	42.98	16.17	16.31	knomial	-0.165120594	-0.137909709	-0.008658009
512	23.66	24.66	30.19	23.14	43.01	21.78	23.14	knomial	-0.086317723	-0.132231405	-0.062442608
1024	30.23	34.1	42.45	29.78	47.38	28.06	29.78	knomial	-0.077334284	-0.215253029	-0.06129722
2048	49.94	57.05	72.08	47.54	63.96	48.2	47.54	knomial	-0.036099585	-0.183609959	0.013692946
4096	84.82	105.45	132.67	90.3	98.46	86.8	90.3	knomial	0.02281106	-0.214861751	-0.040322581
8192	156.45	195.21	243.83	162.8	159.49	159.32	159.49	scag	0.01801406	-0.225269897	-0.001067035
16384	229.73	381.87	254.89	235.71	282.96	230.06	235.71	knomial	0.001434408	-0.659871338	-0.024558811
32768	471	795.96	507.86	469.87	535.62	464.73	469.87	knomial	-0.013491705	-0.712736428	-0.011060185
65536	909.89	1595.06	992.11	922.13	1051.7	920.14	922.13	knomial	0.011139609	-0.733497077	-0.002162714
131072	1816.45	3249.59	1968.89	1854.2	2103.69	1860.46	1854.2	knomial	0.02365544	-0.746659428	0.003364759
262144	3656.57	6546.09	3911.06	3739.73	4243.12	3742.5	3739.73	knomial	0.022960588	-0.749122244	0.000740147
524288	7338.83	13068.1	7754.14	7489.61	4647.16	7479.83	4647.16	scag	0.018850696	-0.7471119	0.378707805
1048576	731.57	1281.98	975.93	713.34	4990.08	717.4	713.34	knomial	-0.019751882	-0.786980764	0.005659325
2097152	1266.95	2354.93	1691.2	1252.55	5501.02	1263.05	1252.55	knomial	-0.003087764	-0.864478841	0.00831321
4194304	2466.5	4501.27	3049.96	2482.66	6128.53	2484.06	2482.66	knomial	0.007069072	-0.812061705	0.000563593
8388608	4988.1	nan	5666.84	4971.79	7039.62	4996.57	4971.79	knomial	0.001695163	nan	0.004959402
16777216	10115.17	nan	11176.21	10104.46	6963	10099.07	6963	scag	-0.001594206	nan	0.310530574
33554432	20348.34	nan	22482.77	20383.2	12870.59	20514.22	12870.59	scag	0.008086098	nan	0.372601542
67108864	41297.38	nan	45489.62	41441.25	24740.82	41232.32	24740.82	scag	-0.001577888	nan	0.399965367
134217728	82955.55	nan	91958.86	82952.75	48932.82	83211.05	48932.82	scag	0.003070506	nan	0.411943246
